"Impact","CVE Identifier","TITLE","TYPE","PUBLISHED","UPDATED"
"Critical","CVE-2022-37454, CVE-2022-2795, CVE-2022-38177, CVE-2022-38178, CVE-2022-48303, CVE-2021-20251, CVE-2022-38023, CVE-2021-46828, CVE-2022-42010, CVE-2023-0286, CVE-2022-46908, CVE-2018-18586, CVE-2015-8985, CVE-2022-45939, CVE-2023-22490, CVE-2022-2601, CVE-2022-3775, CVE-2022-43680, CVE-2022-40303, CVE-2022-40897, CVE-2022-40899, CVE-2022-38223, CVE-2022-23471, CVE-2022-27191, CVE-2022-3554, CVE-2022-3555, CVE-2022-44793, CVE-2021-3928, CVE-2022-3234, CVE-2022-3235, CVE-2022-3324, CVE-2022-3491, CVE-2022-3520, CVE-2022-3591, CVE-2022-3705, CVE-2022-4141, CVE-2022-4292, CVE-2022-4293, CVE-2023-0049, CVE-2023-0051, CVE-2023-0054, CVE-2023-0288, CVE-2023-0433, CVE-2021-20271, CVE-2021-3421, CVE-2022-21618, CVE-2022-21619, CVE-2022-21624, CVE-2022-21626, CVE-2022-21628, CVE-2022-39399, CVE-2023-21835, CVE-2023-21843, CVE-2022-23491, CVE-2022-3479, CVE-2023-0767, CVE-2022-42898, CVE-2023-22809, CVE-2022-45061, CVE-2022-47629, CVE-2023-23916, CVE-2022-4415, CVE-2022-21216, CVE-2022-33196, CVE-2022-38090, CVE-2021-46848, CVE-2020-29651, CVE-2022-42969, CVE-2023-23454, CVE-2019-2708, CVE-2022-2928, CVE-2022-2929, CVE-2022-41973, CVE-2022-41862, CVE-2022-40149, CVE-2022-40150, CVE-2022-40151, CVE-2022-40152, CVE-2022-41966, CVE-2022-25857, CVE-2022-42003, CVE-2022-41852, CVE-2022-40159, CVE-2022-40157, CVE-2022-40160, CVE-2022-40161, CVE-2022-40158, CVE-2022-42889, CVE-2022-31692, CVE-2022-31690, CVE-2022-41946, CVE-2023-22899, CVE-2016-1000027, CVE-2022-41854, CVE-2022-38752, CVE-2022-45693, CVE-2022-45685, CVE-2022-41853, CVE-2023-23916, CVE-2022-48303, CVE-2017-12626, CVE-2019-12415, CVE-2016-5000, CVE-2022-26336, CVE-2017-5644, CVE-2012-0213, CVE-2014-9527, CVE-2014-3574, CVE-2014-3529, CVE-2016-2510, CVE-2021-37714, CVE-2022-36033, CVE-2015-6748, CVE-2017-1000487, CVE-2022-29599, CVE-2021-23926, CVE-2022-41940, CVE-2020-28469, CVE-2022-48285, CVE-2022-3517, CVE-2022-24999, CVE-2021-33502, CVE-2022-2421, CVE-2022-25858, CVE-2018-1000620, CVE-2018-3750, CVE-2018-16492, CVE-2021-23369, CVE-2021-23383, CVE-2019-19919, CVE-2021-3918, CVE-2019-10757, CVE-2019-10744, CVE-2021-23337, CVE-2021-44906, CVE-2019-10746, CVE-2021-23440, CVE-2019-10747, CVE-2020-7774, CVE-2020-28499, CVE-2021-3807, CVE-2021-43138, CVE-2021-3749, CVE-2022-24434, CVE-2020-8116, CVE-2020-8141, CVE-2022-29167, CVE-2020-7788, CVE-2019-20149, CVE-2020-26289, CVE-2022-24785, CVE-2022-31129, CVE-2022-24771, CVE-2022-24772, CVE-2020-7720, CVE-2021-23400, CVE-2021-23343, CVE-2020-7751, CVE-2021-29469, CVE-2022-0355, CVE-2021-32803, CVE-2021-32804, CVE-2021-37701, CVE-2021-37712, CVE-2021-37713, CVE-2021-3777, CVE-2021-23358, CVE-2021-3765, CVE-2020-15366, CVE-2020-8244, CVE-2017-16137, CVE-2022-0155, CVE-2022-0536, CVE-2021-23362, CVE-2021-21366, CVE-2021-32796, CVE-2018-1109, CVE-2020-7789, CVE-2020-15168, CVE-2022-0235, CVE-2022-25896, CVE-2017-16028, CVE-2018-21270, CVE-2019-10795, CVE-2020-7608, CVE-2017-18869, CVE-2022-35737, CVE-2022-46908, CVE-2022-37434, CVE-2018-25032, CVE-2022-40304, CVE-2022-40303, CVE-2022-43551, CVE-2022-43552","DSA-2023-127: Dell PowerProtect Data Manager Security Update for Multiple Security Vulnerabilities","Advisory","03 Apr 2023","03 Apr 2023"
"High","CVE-2023-24576","DSA-2023-041: Dell NetWorker Security Update for nsrdump Vulnerability","Advisory","03 Feb 2023","03 Apr 2023"
"High","CVE-2022-42252","DSA-2023-040: Dell NetWorker Security Update for an Apache Tomcat Vulnerability","Advisory","02 Feb 2023","03 Apr 2023"
"High","CVE-2023-25539","DSA-2023-060: Dell NetWorker Security Update for an nsrcapinfo Vulnerability.","Advisory","17 Mar 2023","03 Apr 2023"
"High","CVE-2023-24568","DSA-2023-059: Dell NetWorker Security Update for an Improper Validation Vulnerability","Advisory","10 Mar 2023","03 Apr 2023"
"High","CVE-2022-21449, CVE-2022-21476, CVE-2022-21426, CVE-2022-21496, CVE-2022-21434, CVE-2022-21443, CVE-2022-0778, CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, CVE-2021-44832","DSA-2022-213: Dell Data Protection Search Security Update for Multiple Third-Party Vulnerabilities","Advisory","28 Jul 2022","03 Apr 2023"
"High","CVE-2023-0181, CVE-2023-182, CVE-2023-184, CVE-2023-186, CVE-2023-187, CVE-2023-188, CVE-2023-191, CVE-2023-192, CVE-2023-194, CVE-2023-195, CVE-2023-199","DSA-2023-092: Dell Client Platform Security Update for NVIDIA GPU Display Driver Vulnerabilities March 2023","Advisory","27 Mar 2023","31 Mar 2023"
"Medium","CVE-2023-28082","DSA-2023-121: Dell CloudLink AEC-GCM ciphers","Advisory","28 Mar 2023","31 Mar 2023"
"Medium","CVE-2022-30339","DSA-2023-066: Dell Client Platform Security Update for an Intel Integrated Sensor Solution Vulnerability","Advisory","08 Feb 2023","30 Mar 2023"
"Critical","CVE-2022-40674, CVE-2022-37434, CVE-2022-34305, CVE-2022-29885, CVE-2022-28736, CVE-2022-28734, CVE-2022-28733, CVE-2022-25315, CVE-2022-25236, CVE-2022-25235, CVE-2022-22852, CVE-2022-22827, CVE-2022-22826, CVE-2022-22825, CVE-2022-22824, CVE-2022-22823, CVE-2022-22822, CVE-2021-46143, CVE-2021-45960, CVE-2021-43527, CVE-2021-3697, CVE-2021-3696, CVE-2021-3695, CVE-2018-25032","DSA-2023-110: Dell Technologies PowerProtect DD Security Update for Multiple Vulnerabilities","Advisory","21 Mar 2023","29 Mar 2023"
"High","CVE-2021-26316, CVE-2021-26398, CVE-2021-39298, CVE-2021-26402, CVE-2021-26353, CVE-2021-26355, CVE-2021-26396, CVE-2021-26403, CVE-2021-26343, CVE-2021-46779, CVE-2021-46791, CVE-2021-26328, CVE-2021-26407, CVE-2021-26409, CVE-2021-26404, CVE-2021-46768, CVE-2021-46767, CVE-2022-23813, CVE-2022-23814, CVE-2023-20522, CVE-2023-20523, CVE-2023-20525, CVE-2023-20527, CVE-2023-20528, CVE-2023-20529, CVE-2023-20530, CVE-2023-20531, CVE-2023-20532","DSA-2023-002: Dell PowerEdge Server Security Update for AMD Server Vulnerabilities","Advisory","11 Jan 2023","29 Mar 2023"
"Medium","CVE-2023-21843, CVE-2023-21767, CVE-2023-21753, CVE-2023-21752, CVE-2023-21750, CVE-2023-21747, CVE-2023-21732, CVE-2023-21683, CVE-2023-21679, CVE-2023-21675, CVE-2023-21560, CVE-2023-21556, CVE-2023-21550, CVE-2023-21541, CVE-2023-21537, CVE-2023-21527, CVE-2022-46908, CVE-2022-45934, CVE-2022-44697, CVE-2022-44680, CVE-2022-44676, CVE-2022-44671, CVE-2022-44667, CVE-2022-4415, CVE-2022-43945, CVE-2022-42898, CVE-2022-42896, CVE-2022-42329, CVE-2022-41974, CVE-2022-41128, CVE-2022-41100, CVE-2022-41096, CVE-2022-41088, CVE-2022-41074, CVE-2022-41056, CVE-2022-41054, CVE-2022-41050, CVE-2022-41047, CVE-2022-3970, CVE-2022-3626, CVE-2022-3570, CVE-2022-2601, CVE-2022-2601, CVE-2021-46848, CVE-2021-20271, CVE-2019-17571, CVE-2023-21835, CVE-2023-21830, CVE-2023-21776, CVE-2023-21774, CVE-2023-21773, CVE-2023-21772, CVE-2023-21766, CVE-2023-21765, CVE-2023-21760, CVE-2023-21758, CVE-2023-21757, CVE-2023-21755, CVE-2023-21754, CVE-2023-21749, CVE-2023-21748, CVE-2023-21746, CVE-2023-21739, CVE-2023-21730, CVE-2023-21728, CVE-2023-21726, CVE-2023-21712, CVE-2023-21682, CVE-2023-21681, CVE-2023-21680, CVE-2023-21678, CVE-2023-21677, CVE-2023-21676, CVE-2023-21674, CVE-2023-21563, CVE-2023-21561, CVE-2023-21559, CVE-2023-21558, CVE-2023-21557, CVE-2023-21555, CVE-2023-21552, CVE-2023-21551, CVE-2023-21549, CVE-2023-21548, CVE-2023-21547, CVE-2023-21546, CVE-2023-21543, CVE-2023-21540, CVE-2023-21536, CVE-2023-21535, CVE-2023-21532, CVE-2023-21525, CVE-2023-21524, CVE-2022-47629, CVE-2022-44793, CVE-2022-44792, CVE-2022-44707, CVE-2022-44698, CVE-2022-44689, CVE-2022-44683, CVE-2022-44681, CVE-2022-44679, CVE-2022-44678, CVE-2022-44677, CVE-2022-44675, CVE-2022-44674, CVE-2022-44673, CVE-2022-44670, CVE-2022-44669, CVE-2022-44668, CVE-2022-44666, CVE-2022-44638, CVE-2022-43995, CVE-2022-4378, CVE-2022-43680, CVE-2022-43552, CVE-2022-43548, CVE-2022-42895, CVE-2022-42328, CVE-2022-42012, CVE-2022-42011, CVE-2022-42010, CVE-2022-41973, CVE-2022-41858, CVE-2022-41850, CVE-2022-41125, CVE-2022-41121, CVE-2022-41118, CVE-2022-41113, CVE-2022-41109, CVE-2022-41102, CVE-2022-41101, CVE-2022-41099, CVE-2022-41098, CVE-2022-41097, CVE-2022-41095, CVE-2022-41093, CVE-2022-41091, CVE-2022-41090, CVE-2022-41086, CVE-2022-41077, CVE-2022-41076, CVE-2022-41073, CVE-2022-41058, CVE-2022-41057, CVE-2022-41055, CVE-2022-41053, CVE-2022-41052, CVE-2022-41049, CVE-2022-41048, CVE-2022-41045, CVE-2022-41039, CVE-2022-4095, CVE-2022-40304, CVE-2022-40303, CVE-2022-3903, CVE-2022-3821, CVE-2022-37992, CVE-2022-3775, CVE-2022-3775, CVE-2022-3643, CVE-2022-3635, CVE-2022-3628, CVE-2022-3627, CVE-2022-3599, CVE-2022-3598, CVE-2022-3597, CVE-2022-3567, CVE-2022-3555, CVE-2022-3554, CVE-2022-32221, CVE-2022-23824, CVE-2022-23307, CVE-2022-23305, CVE-2022-23302, CVE-2021-46828, CVE-2021-4104, CVE-2021-3421, CVE-2021-20266, CVE-2020-9488, CVE-2019-2708, CVE-2016-3709, CVE-2015-8985","DSA-2023-108: Dell Unisphere for PowerMax, Dell Unisphere for PowerMax vApp, Dell Solutions Enabler vApp, Dell Unisphere 360, Dell VASA Provider vApp, and Dell PowerMax EMB Mgmt Security Update for Multiple Vulnerabilities","Advisory","29 Mar 2023","29 Mar 2023"
"Critical","CVE-2007-4559, CVE-2016-0682, CVE-2016-0689, CVE-2016-0694, CVE-2016-3418, CVE-2016-7103, CVE-2017-10140, CVE-2017-12613, CVE-2017-12814, CVE-2017-12837, CVE-2017-12883, CVE-2017-3604, CVE-2017-3605, CVE-2017-3606, CVE-2017-3607, CVE-2017-3608, CVE-2017-3609, CVE-2017-3610, CVE-2017-3612, CVE-2017-3613, CVE-2017-3614, CVE-2017-3615, CVE-2017-3616, CVE-2017-3617, CVE-2017-6004, CVE-2017-7186, CVE-2018-12015, CVE-2018-18074, CVE-2018-18311, CVE-2018-18312, CVE-2018-18313, CVE-2018-18314, CVE-2018-6797, CVE-2018-6798, CVE-2018-6913, CVE-2018-7160, CVE-2019-12749, CVE-2019-16869, CVE-2019-20444, CVE-2019-20445, CVE-2019-20838, CVE-2019-9512, CVE-2020-10543, CVE-2020-s10650, CVE-2020-10663, CVE-2020-10735, CVE-2020-10878, CVE-2020-11080, CVE-2020-11612, CVE-2020-12723, CVE-2020-12762, CVE-2020-14152, CVE-2020-1752, CVE-2020-21595, CVE-2020-21596, CVE-2020-21597, CVE-2020-21598, CVE-2020-21600, CVE-2020-21601, CVE-2020-21602, CVE-2020-21603, CVE-2020-21604, CVE-2020-27216, CVE-2020-28196, CVE-2020-28491, CVE-2020-29361, CVE-2020-29363, CVE-2020-2981, CVE-2020-36179, CVE-2020-36180, CVE-2020-36182, CVE-2020-36183, CVE-2020-36184, CVE-2020-36185, CVE-2020-36186, CVE-2020-36187, CVE-2020-36188, CVE-2020-36518, CVE-2020-6096, CVE-2020-7238, CVE-2021-20190, CVE-2021-22931, CVE-2021-22940, CVE-2021-23214, CVE-2021-28165, CVE-2021-31684, CVE-2021-3326, CVE-2021-33560, CVE-2021-33813, CVE-2021-35940, CVE-2021-35942, CVE-2021-36222, CVE-2021-3632, CVE-2021-36770, CVE-2021-37136, CVE-2021-37137, CVE-2021-3826, CVE-2021-38604, CVE-2021-3999, CVE-2021-4133, CVE-2021-42378, CVE-2021-42379, CVE-2021-42380, CVE-2021-42381, CVE-2021-42382, CVE-2021-42383, CVE-2021-42384, CVE-2021-42385, CVE-2021-42386, CVE-2021-44531, CVE-2021-46848, CVE-2022-0778, CVE-2022-0778, CVE-2022-0891, CVE-2022-1245, CVE-2022-1271, CVE-2022-1292, CVE-2022-1292 (BDSA-2022-1242), CVE-2022-1552, CVE-2022-1586, CVE-2022-1587, CVE-2022-1941, CVE-2022-1996, CVE-2022-2068, CVE-2022-2068, CVE-2022-2068 (BDSA-2022-1716), CVE-2022-21824, CVE-2022-22576, CVE-2022-23219, CVE-2022-24999, CVE-2022-2509, CVE-2022-2509, CVE-2022-25235, CVE-2022-25236, CVE-2022-25314, CVE-2022-25315, CVE-2022-25857, CVE-2022-2625, CVE-2022-27775, CVE-2022-27782, CVE-2022-28321, CVE-2022-28805, CVE-2022-29162, CVE-2022-29241, CVE-2022-3171, CVE-2022-32212, CVE-2022-34169, CVE-2022-35256, CVE-2022-35737, CVE-2022-3602, CVE-2022-36049, CVE-2022-37454, CVE-2022-3782, CVE-2022-3786, CVE-2022-3970, CVE-2022-3996, CVE-2022-40149, CVE-2022-40150, CVE-2022-40303, CVE-2022-40304, CVE-2022-40674, CVE-2022-41881, CVE-2022-42003, CVE-2022-42004, CVE-2022-4262, CVE-2022-42898, CVE-2022-42915, CVE-2022-42919, CVE-2022-43548, CVE-2022-43680, CVE-2022-43680, CVE-2022-45061, CVE-2022-45146, CVE-2022-48281","DSA-2023-086: Dell Streaming Data Platform Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","27 Mar 2023","28 Mar 2023"
"High","CVE-2021-37409, CVE-2021-23223, CVE-2021-44545, CVE-2022-21172, CVE-2022-21240, CVE-2022-21139, CVE-2022-21197, CVE-2022-21160, CVE-2022-21212","DSA-2023-010: Dell Client BIOS Security Update for Multiple Intel Wireless Vulnerabilities","Advisory","10 Mar 2023","24 Mar 2023"
"Critical","CVE-2022-2795, CVE-2022-38177, CVE-2022-38178, CVE-2022-27943, CVE-2022-38126, CVE-2022-38127, CVE-2022-38533, CVE-2022-32221, CVE-2022-42010, CVE-2022-42011, CVE-2022-42012, CVE-2022-45939, CVE-2022-40674, CVE-2022-43680, CVE-2022-2601, CVE-2022-3775, CVE-2022-20368, CVE-2022-20369, CVE-2022-21385, CVE-2022-2503, CVE-2022-2588, CVE-2022-26373, CVE-2022-2639, CVE-2022-2663, CVE-2022-2977, CVE-2022-3028, CVE-2022-3239, CVE-2022-36879, CVE-2022-39188, CVE-2022-41218, CVE-2022-41974, CVE-2022-3515, CVE-2022-44638, CVE-2022-45061, CVE-2022-35737, CVE-2022-2519, CVE-2022-2520, CVE-2022-2521, CVE-2022-2867, CVE-2022-2868, CVE-2022-2869, CVE-2022-34266, CVE-2022-34526, CVE-2022-3597, CVE-2022-3599, CVE-2022-3626, CVE-2022-3627, CVE-2022-3970, CVE-2022-40303, CVE-2022-40304, CVE-2022-43995, CVE-2022-39028, CVE-2019-2708, CVE-2022-2928, CVE-2022-2929, CVE-2022-20008, CVE-2022-2153, CVE-2022-29581, CVE-2022-2964, CVE-2022-3169, CVE-2022-32296, CVE-2022-3303, CVE-2022-3424, CVE-2022-3521, CVE-2022-3524, CVE-2022-3542, CVE-2022-3545, CVE-2022-3565, CVE-2022-3586, CVE-2022-3594, CVE-2022-3621, CVE-2022-3629, CVE-2022-3646, CVE-2022-3649, CVE-2022-40307, CVE-2022-40768, CVE-2022-41848, CVE-2022-42703, CVE-2022-43750, CVE-2022-41973, CVE-2022-36227, CVE-2022-2963, CVE-2022-37454, CVE-2022-3821, CVE-2022-3554, CVE-2022-3555, CVE-2022-31252, CVE-2022-1615, CVE-2022-0529, CVE-2022-0530, CVE-2021-28957, CVE-2021-4037, CVE-2021-4203, CVE-2021-4209, CVE-2021-46828, CVE-2021-46848, CVE-2021-20266, CVE-2021-20271, CVE-2021-3421, CVE-2021-3802, CVE-2021-20224, CVE-2021-3648, CVE-2021-3826, CVE-2021-45078, CVE-2021-28861, CVE-2021-46195, CVE-2021-36690, CVE-2020-27783, CVE-2020-35538, CVE-2020-36516, CVE-2020-21913, CVE-2020-10735, CVE-2019-8921, CVE-2019-1010204, CVE-2018-18586, CVE-2017-0386, CVE-2016-4574, CVE-2016-4579, CVE-2016-9803, CVE-2016-3709, CVE-2015-8985, CVE-2014-9087","DSA-2022-359 Dell Avamar, Dell NetWorker Virtual Edition (NVE), and Dell PowerProtect DP Series Appliance or Dell Integrated Data Protection Appliance (IDPA) Security Update for Multiple Vulnerabilities","Advisory","03 Feb 2023","24 Mar 2023"
"Critical","CVE-2022-0778, CVE-2021-3711, CVE-2021-3712","DSA-2023-047: Dell Client Platform Security Update for OpenSSL Vulnerabilities","Advisory","10 Mar 2023","24 Mar 2023"
"High","CVE-2020-12930, CVE-2020-12931, CVE-2021-26392, CVE-2021-26393","DSA-2023-051: Dell Client Platform Security Update for AMD BIOS Vulnerabilities","Advisory","07 Feb 2023","24 Mar 2023"
"High","CVE-2022-34669, CVE-2022-34671, CVE-2022-34672, CVE-2022-34678, CVE-2022-34681, CVE-2022-34683, CVE-2022-42266, CVE-2022-42267","DSA-2022-324: Dell Client Platform Security Update for NVIDIA GPU Display Driver November 2022 Vulnerabilities","Advisory","23 Nov 2022","24 Mar 2023"
"Medium","CVE-2021-46827","DSA-2023-037: Dell Avamar Server and Avamar Virtual Edition Security Update for HTML5 WebHelp XSS Vulnerability","Advisory","02 Feb 2023","24 Mar 2023"
"High","CVE-2022-40262","DSA-2023-050: Dell Client Platform Security Update for an AMI UEFI BIOS Vulnerability","Advisory","07 Feb 2023","24 Mar 2023"
"Medium","CVE-2022-21628, CVE-2022-21626, CVE-2022-21618, CVE-2022-39399, CVE-2022-21624, CVE-2022-21619","DSA-2023-055: Dell NetWorker Runtime Environment Security Update for a Java SE Embedded Vulnerabilities","Advisory","15 Feb 2023","24 Mar 2023"
"High","CVE-2022-31606, CVE-2022-31610, CVE-2022-31612, CVE-2022-31613, CVE-2022-34665, CVE-2022-34666, CVE-2022-31616, CVE-2022-31617","DSA-2022-222: Dell Client Platform Security Update Security Advisory for NVIDIA GPU Display Driver Vulnerabilities August 2022","Advisory","05 Aug 2022","24 Mar 2023"
"Critical","CVE-2022-32215, CVE-2022-21634, CVE-2022-21597, CVE-2022-21628, CVE-2022-21626, CVE-2022-21618, CVE-2022-39399, CVE-2022-21624, CVE-2022-21619, CVE-2022-41742, CVE-2022-32746, CVE-2022-32745, CVE-2022-1615, CVE-2022-33981, CVE-2021-28861, CVE-2022-1292, CVE-2022-2068, CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, CVE-2021-44832","DSA-2023-063: Dell Data Protection Search Security Update for Multiple Vulnerabilities","Advisory","08 Feb 2023","24 Mar 2023"
"High","CVE-2020-14803, CVE-2021-46827, CVE-2021-46828, CVE-2021-2161, CVE-2021-2163, CVE-2021-2388, CVE-2021-2369, CVE-2021-2341, CVE-2021-35560, CVE-2021-35567, CVE-2021-35550, CVE-2021-35586, CVE-2021-35564, CVE-2021-35556, CVE-2021-35559, CVE-2021-35561, CVE-2021-35565, CVE-2021-35578, CVE-2021-35603, CVE-2021-35588, CVE-2022-21349, CVE-2022-21305, CVE-2022-21360, CVE-2022-21365, CVE-2022-21282, CVE-2022-21296, CVE-2022-21299, CVE-2022-21271, CVE-2022-21293, CVE-2022-21294, CVE-2022-21340, CVE-2022-21341, CVE-2022-21248, CVE-2022-21476, CVE-2022-21426, CVE-2022-21496, CVE-2022-21434, CVE-2022-21443","DSA-2023-034: Dell Unity, Dell UnityVSA, and Dell Unity XT Security Update for Multiple Vulnerabilities","Advisory","30 Jan 2023","24 Mar 2023"
"Medium","CVE-2017-5715","DSA-2023-013: Dell Client Security Update for a BIOS Vulnerability","Advisory","12 Jan 2023","24 Mar 2023"
"High","CVE-2022-36448, CVE-2022-36338, CVE-2022-35896, CVE-2022-35895, CVE-2022-35894, CVE-2022-35893, CVE-2022-35408","DSA-2023-007: Dell Client Security Update for Dell Client BIOS","Advisory","11 Jan 2023","24 Mar 2023"
"Medium","CVE-2022-28667, CVE-2022-26047","DSA-2022-313: Dell Client Security Update for Intel PROSet Wireless WiFi, Intel PRO Wireless WiFi, Intel vPro CSME WiFi, and Killer WiFi November 2022 Software Advisories","Advisory","08 Nov 2022","23 Mar 2023"
"High","CVE-2022-21212, CVE-2022-21140, CVE-2022-21181, CVE-2022-21172, CVE-2022-21240, CVE-2022-21139, CVE-2022-21197, CVE-2022-21160, CVE-2021-23188, CVE-2021-37409, CVE-2021-23223, CVE-2021-23168, CVE-2021-44545, CVE-2021-26254, CVE-2021-33847, CVE-2021-26257, CVE-2021-26950, CVE-2021-23179","DSA-2022-229: Dell Client Security Update for Intel Wireless Bluetooth, Killer Bluetooth, Intel PROSet/Wireless WiFi, and Killer WiFi August 2022 Software Advisories","Advisory","09 Aug 2022","23 Mar 2023"
